NGAY;BO_SO;SO1;SO2;SO3;SO4;SO5;SO6
06/11/2022;08 10 12 14 17 31;8;10;12;14;17;31
04/11/2022;09 13 16 24 33 45;9;13;16;24;33;45
02/11/2022;02 17 23 27 37 42;2;17;23;27;37;42
30/10/2022;15 27 31 36 38 41;15;27;31;36;38;41
28/10/2022;16 21 22 33 42 45;16;21;22;33;42;45
26/10/2022;02 03 10 15 31 36;2;3;10;15;31;36
23/10/2022;02 11 18 33 36 45;2;11;18;33;36;45
21/10/2022;10 16 17 18 34 42;10;16;17;18;34;42
19/10/2022;01 03 07 10 21 29;1;3;7;10;21;29
16/10/2022;02 05 19 26 38 40;2;5;19;26;38;40
14/10/2022;01 06 22 25 30 34;1;6;22;25;30;34
12/10/2022;01 07 13 16 27 35;1;7;13;16;27;35
09/10/2022;13 15 20 25 35 43;13;15;20;25;35;43
07/10/2022;18 20 29 34 36 38;18;20;29;34;36;38
05/10/2022;09 18 23 24 29 34;9;18;23;24;29;34
02/10/2022;03 17 28 30 31 32;3;17;28;30;31;32
30/09/2022;04 11 19 20 35 41;4;11;19;20;35;41
28/09/2022;04 05 07 24 27 30;4;5;7;24;27;30
25/09/2022;03 05 08 31 33 34;3;5;8;31;33;34
23/09/2022;01 12 21 28 30 44;1;12;21;28;30;44
21/09/2022;05 10 14 25 42 45;5;10;14;25;42;45
18/09/2022;03 05 10 17 25 29;3;5;10;17;25;29
16/09/2022;02 26 35 41 42 43;2;26;35;41;42;43
14/09/2022;03 12 15 20 24 45;3;12;15;20;24;45
11/09/2022;04 15 20 31 43 44;4;15;20;31;43;44
09/09/2022;04 06 13 14 28 39;4;6;13;14;28;39
07/09/2022;08 09 10 20 35 38;8;9;10;20;35;38
04/09/2022;05 17 19 27 35 39;5;17;19;27;35;39
02/09/2022;02 03 14 21 31 33;2;3;14;21;31;33
31/08/2022;04 10 28 29 31 34;4;10;28;29;31;34
28/08/2022;08 16 31 37 39 41;8;16;31;37;39;41
26/08/2022;03 30 31 32 36 45;3;30;31;32;36;45
24/08/2022;12 20 21 23 27 34;12;20;21;23;27;34
21/08/2022;05 19 21 23 28 36;5;19;21;23;28;36
19/08/2022;25 26 33 39 41 43;25;26;33;39;41;43
17/08/2022;23 29 35 37 39 45;23;29;35;37;39;45
14/08/2022;09 13 21 24 34 35;9;13;21;24;34;35
12/08/2022;05 07 16 20 36 41;5;7;16;20;36;41
10/08/2022;04 08 10 15 26 31;4;8;10;15;26;31
07/08/2022;06 09 10 13 24 27;6;9;10;13;24;27
05/08/2022;10 13 14 32 37 42;10;13;14;32;37;42
03/08/2022;05 14 30 36 38 42;5;14;30;36;38;42
31/07/2022;03 08 15 16 40 42;3;8;15;16;40;42
29/07/2022;05 07 11 20 31 37;5;7;11;20;31;37
27/07/2022;09 15 18 22 32 41;9;15;18;22;32;41
24/07/2022;04 11 17 29 30 44;4;11;17;29;30;44
22/07/2022;04 10 18 22 31 37;4;10;18;22;31;37
20/07/2022;05 06 20 22 26 39;5;6;20;22;26;39
17/07/2022;07 13 20 23 27 29;7;13;20;23;27;29
15/07/2022;04 30 35 39 42 43;4;30;35;39;42;43
13/07/2022;04 09 21 28 35 37;4;9;21;28;35;37
10/07/2022;12 23 29 36 37 41;12;23;29;36;37;41
08/07/2022;06 07 12 18 21 43;6;7;12;18;21;43
06/07/2022;04 12 14 15 41 42;4;12;14;15;41;42
03/07/2022;08 14 17 20 21 40;8;14;17;20;21;40
01/07/2022;17 26 30 31 33 39;17;26;30;31;33;39
29/06/2022;01 19 20 27 30 32;1;19;20;27;30;32
26/06/2022;03 07 08 18 27 36;3;7;8;18;27;36
24/06/2022;07 16 18 32 34 44;7;16;18;32;34;44
22/06/2022;03 20 23 30 33 35;3;20;23;30;33;35
19/06/2022;01 24 25 31 39 40;1;24;25;31;39;40
17/06/2022;05 08 26 29 35 44;5;8;26;29;35;44
15/06/2022;01 06 12 20 36 39;1;6;12;20;36;39
12/06/2022;06 14 19 22 40 42;6;14;19;22;40;42
10/06/2022;10 23 25 26 30 41;10;23;25;26;30;41
08/06/2022;02 10 13 15 22 36;2;10;13;15;22;36
05/06/2022;06 08 21 28 30 35;6;8;21;28;30;35
03/06/2022;05 08 34 38 39 41;5;8;34;38;39;41
01/06/2022;06 10 21 23 28 39;6;10;21;23;28;39
29/05/2022;02 06 19 24 30 42;2;6;19;24;30;42
27/05/2022;16 21 23 27 35 41;16;21;23;27;35;41
25/05/2022;19 26 27 39 44 45;19;26;27;39;44;45
22/05/2022;01 07 10 24 33 40;1;7;10;24;33;40
20/05/2022;12 17 34 39 44 45;12;17;34;39;44;45
18/05/2022;03 17 23 37 40 42;3;17;23;37;40;42
15/05/2022;05 20 21 31 34 37;5;20;21;31;34;37
13/05/2022;07 08 18 29 41 44;7;8;18;29;41;44
11/05/2022;02 06 07 18 34 41;2;6;7;18;34;41
08/05/2022;04 12 20 25 35 37;4;12;20;25;35;37
06/05/2022;01 03 15 16 34 43;1;3;15;16;34;43
04/05/2022;01 04 23 28 33 38;1;4;23;28;33;38
01/05/2022;08 21 26 35 37 42;8;21;26;35;37;42
29/04/2022;05 12 16 25 26 32;5;12;16;25;26;32
27/04/2022;03 09 14 17 27 32;3;9;14;17;27;32
24/04/2022;09 12 23 30 32 40;9;12;23;30;32;40
22/04/2022;11 13 15 18 24 36;11;13;15;18;24;36
20/04/2022;01 08 17 21 27 37;1;8;17;21;27;37
17/04/2022;05 13 15 28 38 40;5;13;15;28;38;40
15/04/2022;09 18 21 25 35 44;9;18;21;25;35;44
13/04/2022;01 07 20 25 40 41;1;7;20;25;40;41
10/04/2022;04 17 28 30 38 42;4;17;28;30;38;42
08/04/2022;02 13 16 19 20 36;2;13;16;19;20;36
06/04/2022;13 17 19 25 32 45;13;17;19;25;32;45
03/04/2022;05 11 20 26 40 43;5;11;20;26;40;43
01/04/2022;02 19 25 32 41 44;2;19;25;32;41;44
30/03/2022;01 12 26 28 39 45;1;12;26;28;39;45
27/03/2022;08 17 21 39 44 45;8;17;21;39;44;45
25/03/2022;01 12 13 27 29 35;1;12;13;27;29;35
23/03/2022;02 09 37 38 40 43;2;9;37;38;40;43
20/03/2022;01 09 10 12 22 44;1;9;10;12;22;44
18/03/2022;06 10 15 29 41 42;6;10;15;29;41;42
16/03/2022;10 11 14 24 31 45;10;11;14;24;31;45
13/03/2022;01 05 19 20 23 38;1;5;19;20;23;38
11/03/2022;06 20 23 29 34 45;6;20;23;29;34;45
09/03/2022;03 15 35 39 40 43;3;15;35;39;40;43
06/03/2022;11 16 21 33 34 42;11;16;21;33;34;42
04/03/2022;03 19 21 24 27 38;3;19;21;24;27;38
02/03/2022;07 10 13 20 21 34;7;10;13;20;21;34
27/02/2022;10 20 25 27 38 45;10;20;25;27;38;45
25/02/2022;10 13 30 33 39 41;10;13;30;33;39;41
23/02/2022;02 16 18 19 24 29;2;16;18;19;24;29
20/02/2022;04 06 16 30 43 44;4;6;16;30;43;44
18/02/2022;03 14 20 26 28 36;3;14;20;26;28;36
16/02/2022;02 05 08 16 22 42;2;5;8;16;22;42
13/02/2022;14 21 22 24 28 45;14;21;22;24;28;45
11/02/2022;10 11 19 38 41 44;10;11;19;38;41;44
09/02/2022;03 20 27 37 44 45;3;20;27;37;44;45
06/02/2022;05 09 21 24 34 39;5;9;21;24;34;39
04/02/2022;11 16 18 38 40 43;11;16;18;38;40;43
02/02/2022;05 06 14 20 31 38;5;6;14;20;31;38
30/01/2022;01 07 22 26 28 41;1;7;22;26;28;41
28/01/2022;04 06 12 26 27 39;4;6;12;26;27;39
26/01/2022;05 11 15 18 27 43;5;11;15;18;27;43
23/01/2022;13 20 24 32 34 40;13;20;24;32;34;40
21/01/2022;01 13 17 24 27 42;1;13;17;24;27;42
19/01/2022;14 21 25 34 37 39;14;21;25;34;37;39
16/01/2022;01 03 04 05 32 33;1;3;4;5;32;33
14/01/2022;05 14 27 30 38 45;5;14;27;30;38;45
12/01/2022;03 06 13 15 36 44;3;6;13;15;36;44
09/01/2022;06 07 11 22 35 41;6;7;11;22;35;41
07/01/2022;10 13 24 28 38 44;10;13;24;28;38;44
05/01/2022;01 03 08 09 35 40;1;3;8;9;35;40
02/01/2022;11 17 30 36 41 45;11;17;30;36;41;45
31/12/2021;02 05 12 33 41 45;2;5;12;33;41;45
29/12/2021;05 27 33 34 38 40;5;27;33;34;38;40
26/12/2021;04 11 16 24 35 44;4;11;16;24;35;44
24/12/2021;03 17 25 26 36 38;3;17;25;26;36;38
22/12/2021;08 16 17 23 28 38;8;16;17;23;28;38
19/12/2021;12 15 24 30 36 45;12;15;24;30;36;45
17/12/2021;08 15 16 21 25 33;8;15;16;21;25;33
15/12/2021;03 18 29 30 39 41;3;18;29;30;39;41
12/12/2021;16 21 29 40 41 43;16;21;29;40;41;43
10/12/2021;01 04 17 19 24 42;1;4;17;19;24;42
08/12/2021;02 03 16 19 22 34;2;3;16;19;22;34
05/12/2021;03 05 06 31 34 35;3;5;6;31;34;35
03/12/2021;10 14 29 37 38 40;10;14;29;37;38;40
01/12/2021;08 09 30 31 38 45;8;9;30;31;38;45
28/11/2021;13 17 26 27 31 37;13;17;26;27;31;37
26/11/2021;04 18 25 29 32 34;4;18;25;29;32;34
24/11/2021;02 10 18 23 34 36;2;10;18;23;34;36
21/11/2021;01 12 29 40 44 45;1;12;29;40;44;45
19/11/2021;09 10 26 28 39 43;9;10;26;28;39;43
17/11/2021;04 15 25 26 32 35;4;15;25;26;32;35
14/11/2021;03 05 18 28 42 43;3;5;18;28;42;43
12/11/2021;11 14 18 24 35 37;11;14;18;24;35;37
10/11/2021;17 18 19 20 27 44;17;18;19;20;27;44
07/11/2021;05 20 24 25 35 36;5;20;24;25;35;36
05/11/2021;10 16 36 40 41 42;10;16;36;40;41;42
03/11/2021;03 13 15 23 24 44;3;13;15;23;24;44
31/10/2021;09 14 17 18 36 41;9;14;17;18;36;41
29/10/2021;17 19 22 31 32 34;17;19;22;31;32;34
27/10/2021;13 17 26 29 33 39;13;17;26;29;33;39
24/10/2021;06 29 31 32 39 44;6;29;31;32;39;44
22/10/2021;03 05 06 09 28 43;3;5;6;9;28;43
20/10/2021;05 09 33 40 41 45;5;9;33;40;41;45
17/10/2021;04 12 21 22 27 40;4;12;21;22;27;40
15/10/2021;05 13 17 20 29 45;5;13;17;20;29;45
13/10/2021;20 34 37 39 41 42;20;34;37;39;41;42
10/10/2021;03 25 26 29 40 42;3;25;26;29;40;42
08/10/2021;04 13 18 23 33 43;4;13;18;23;33;43
06/10/2021;09 11 15 20 32 36;9;11;15;20;32;36
03/10/2021;06 12 28 30 39 42;6;12;28;30;39;42
01/10/2021;11 15 17 27 28 45;11;15;17;27;28;45
29/09/2021;06 15 16 27 36 42;6;15;16;27;36;42
26/09/2021;13 27 34 35 36 41;13;27;34;35;36;41
24/09/2021;01 04 07 14 16 41;1;4;7;14;16;41
22/09/2021;05 10 19 22 36 45;5;10;19;22;36;45
19/09/2021;06 24 28 31 36 43;6;24;28;31;36;43
17/09/2021;06 10 15 37 39 44;6;10;15;37;39;44
15/09/2021;11 14 17 24 29 35;11;14;17;24;29;35
12/09/2021;04 08 21 29 33 45;4;8;21;29;33;45
10/09/2021;10 16 22 36 43 44;10;16;22;36;43;44
08/09/2021;04 18 28 32 36 40;4;18;28;32;36;40
05/09/2021;15 18 25 27 29 34;15;18;25;27;29;34
03/09/2021;06 11 18 23 32 44;6;11;18;23;32;44
01/09/2021;06 13 33 34 40 45;6;13;33;34;40;45
29/08/2021;01 18 21 25 27 35;1;18;21;25;27;35
